episode,steps,reward_sum,reward_mean,reward_min,reward_max
0,200,1882.238276207072,9.41119138103536,5.160430466898117,12.792636831053992
1,200,1912.4877087953469,9.562438543976734,5.389561761115714,12.835969824193963
2,200,1925.108565212971,9.625542826064855,5.454342408487404,12.600891414845057
3,200,1930.5250573682329,9.652625286841165,5.389438207473389,12.680451061674109
4,200,1984.952598574294,9.92476299287147,5.115854389714378,12.37231208685307
5,200,1967.5171890384856,9.837585945192428,5.420978940903485,12.884338976597872
6,200,2023.7160127286947,10.118580063643474,5.348595297745859,12.374350647940929
7,200,2128.480135653881,10.642400678269405,5.326130736442109,13.029619966100473
8,200,2141.513710589931,10.707568552949656,5.688142939262518,12.669206463277831
9,200,2097.5537309542156,10.487768654771077,5.241812467140759,12.372357443533373
10,200,2127.3560987022324,10.636780493511163,4.955911574730696,12.68418344459221
11,200,2179.3150671493945,10.896575335746972,5.55037579946651,12.458432009348135
12,200,2213.5946436416925,11.067973218208463,5.656610087417104,12.074514139262416
13,200,2205.1046056735177,11.025523028367589,5.293172762162828,12.219210214961452
14,200,2188.695407457819,10.943477037289094,5.512900949796541,12.288797342398645
15,200,2190.3548488026468,10.951774244013233,5.2408374308708785,12.836674581509683
16,200,2193.852532143405,10.969262660717025,5.413864497239961,12.508124863446245
17,200,2251.115535532324,11.25557767766162,5.140572548107638,12.598345023452506
18,200,2243.384214597303,11.216921072986516,5.315896629548307,12.336798508148608
19,200,2250.441156199251,11.252205780996256,5.457705820698752,12.219045502381041
20,200,2244.3310030255416,11.221655015127707,5.444095134817061,12.349048840046962
21,200,2255.8470980717984,11.279235490358992,5.341082766804696,12.570258347006188
22,200,2245.855871882217,11.229279359411084,5.568350750802109,12.253173871829587
23,200,2294.6937115608976,11.473468557804487,7.015392338526456,12.514083770168645
24,200,2282.5704073960314,11.412852036980157,6.697059762917925,12.528369604022748
25,200,2294.764303947596,11.47382151973798,5.30971542109954,12.15051200264324
26,200,2273.480306967327,11.367401534836636,5.6695637474981435,12.539899667313307
27,200,2267.1267192693244,11.335633596346621,5.510240313811172,12.07225720255094
28,200,2249.6606876027017,11.248303438013508,5.687168270612265,12.149925293773292
